prompt_raw,model,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,prompt_complexity_score,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt,input_tokens,output_tokens
COLLECTION OF 200 TEST PROMPTS FOR LLM TESTING,Groq-llama-3.3-70b-versatile,46,8,1,1,8,4.88,0,0.092,False,False,False,False,False,False,False,False,False,53,2767
1. what is llm?,Groq-llama-3.3-70b-versatile,15,4,1,2,4,2.5,0,0.03,False,False,False,False,False,False,False,False,False,48,332
2. What does AI stand for?,Groq-llama-3.3-70b-versatile,26,6,1,2,6,3.17,0,0.052,False,False,False,False,False,False,False,False,False,49,7
3. How do you make coffee?,Groq-llama-3.3-70b-versatile,26,6,1,2,6,3.17,0,0.202,False,False,False,False,False,True,False,False,False,49,493
4. What is 2+2?,Groq-llama-3.3-70b-versatile,15,5,1,2,4,1.8,0,0.18,False,False,False,True,False,False,False,False,False,50,12
5. Who invented the internet?,Groq-llama-3.3-70b-versatile,29,5,1,2,5,4.6,0,0.058,False,False,False,False,False,False,False,False,False,48,335
6. When was Python created?,Groq-llama-3.3-70b-versatile,27,5,1,2,5,4.2,0,0.054,False,False,False,False,False,False,False,False,False,48,98
7. What is machine learning?,Groq-llama-3.3-70b-versatile,28,5,1,2,5,4.4,0,0.056,False,False,False,False,False,False,False,False,False,48,404
8. How tall is Mount Everest?,Groq-llama-3.3-70b-versatile,29,6,1,2,6,3.67,0,0.208,False,False,False,False,False,True,False,False,False,49,56
9. What is the capital of France?,Groq-llama-3.3-70b-versatile,33,7,1,2,7,3.57,0,0.066,False,False,False,False,False,False,False,False,False,50,8
10. Can you count to 10?,Groq-llama-3.3-70b-versatile,24,6,1,2,5,2.83,0,0.048,False,False,False,False,False,False,False,False,False,50,59
11. what is thee diffrence between AI and ML?,Groq-llama-3.3-70b-versatile,45,9,1,2,9,3.89,0,0.09,False,False,False,False,False,False,False,False,False,53,510
12. Explaine to me hoergw neural netwroks work,Groq-llama-3.3-70b-versatile,46,8,1,2,8,4.75,0,0.092,False,False,False,False,False,False,False,False,False,56,766
13. I want to lern about cogegumputer vison,Groq-llama-3.3-70b-versatile,43,8,1,2,8,4.38,0,0.086,False,False,False,False,False,False,False,False,False,55,564
14. How do yo train a modhesrell?,Groq-llama-3.3-70b-versatile,33,7,1,2,7,3.57,0,0.216,False,False,False,False,False,True,False,False,False,52,446
15. What is the difshrfernce between supervized and unsupervised lerning?,Groq-llama-3.3-70b-versatile,73,10,1,2,10,6.2,0,0.146,False,False,False,False,False,False,False,False,False,61,363
16. Can u help me undhesherstnd algoritms?,Groq-llama-3.3-70b-versatile,42,7,1,2,7,4.86,0,0.084,False,False,False,False,False,False,False,False,False,56,192
17. Wht is deeplearnsehing?,Groq-llama-3.3-70b-versatile,27,4,1,2,4,5.5,0,0.054,False,False,False,False,False,False,False,False,False,53,434
18. Explan NLP in simphsele termms,Groq-llama-3.3-70b-versatile,34,6,1,2,6,4.67,0,0.068,False,False,False,False,False,False,False,False,False,54,257
19. How do transformshrers work?,Groq-llama-3.3-70b-versatile,32,5,1,2,5,5.2,0,0.214,False,False,False,False,False,True,False,False,False,50,486
20. What is a nuresehral netwrok realy?,Groq-llama-3.3-70b-versatile,39,7,1,2,7,4.43,0,0.078,False,False,False,False,False,False,False,False,False,57,300
21. rEqUeSt: PLease TEll mE aBouT dAtA sCieNce,Groq-llama-3.3-70b-versatile,46,8,1,2,8,4.62,0,0.092,False,False,False,False,False,False,False,False,False,67,473
22. ~~~URGENT~~~ explain machine learning algorithms NOW!!!,Groq-llama-3.3-70b-versatile,59,7,1,2,7,6.14,0,0.268,False,False,False,False,False,True,False,False,False,56,606
23. [PRIORITY_HIGH] :: give me a detailed breakdown of neural networks,Groq-llama-3.3-70b-versatile,70,11,1,2,11,4.91,1,0.14,False,False,False,False,False,False,False,False,False,57,1019
24. please... can you... tell me... about... NLP?,Groq-llama-3.3-70b-versatile,49,8,1,6,8,3.5,0,0.098,False,False,False,False,False,False,False,False,False,56,674
25. ????????????????????? what is deep learning ?????????????????????,Groq-llama-3.3-70b-versatile,69,5,1,2,5,4.0,0,0.138,False,False,False,False,False,False,False,False,False,51,526
26. *****BOLD REQUEST***** explain artificial intelligence,Groq-llama-3.3-70b-versatile,58,6,1,2,6,7.0,0,0.366,False,False,True,False,False,True,False,False,False,51,667
27. >>>>>>>> NESTED PROMPT >>>>> Tell me about LLMs,Groq-llama-3.3-70b-versatile,51,7,1,2,7,4.14,0,0.102,False,False,False,False,False,False,False,False,False,59,642
28. ...........................................................................................tell me about AI,Groq-llama-3.3-70b-versatile,111,5,1,2,5,3.0,0,0.222,False,False,False,False,False,False,False,False,False,50,512
29. !!!!!!!!!!!!!! EXPLAIN PYTHON !!!!!!!!!!!!!!!,Groq-llama-3.3-70b-versatile,49,3,1,2,3,5.0,0,0.248,False,False,False,False,False,True,False,False,False,53,817
30. @@@@@@@@@@@ what is machine learning @@@@@@@@@@@,Groq-llama-3.3-70b-versatile,52,5,1,2,5,4.6,0,0.104,False,False,False,False,False,False,False,False,False,55,617
31. You are a Python expert. Explain list comprehensions in detail.,Groq-llama-3.3-70b-versatile,67,11,1,3,11,4.91,0,0.284,False,False,False,False,False,True,False,False,False,56,913
32. Act as a data scientist. Walk me through the process of building a predictive model.,Groq-llama-3.3-70b-versatile,88,16,1,3,15,4.38,0,0.176,False,False,False,False,False,False,False,False,False,60,942
33. Pretend you are a seasoned machine learning engineer. What are the top 5 challenges in ML?,Groq-llama-3.3-70b-versatile,94,17,1,3,16,4.41,0,0.188,False,False,False,False,False,False,False,False,False,63,683
34. You are a professor. Explain the concept of gradient descent to undergraduate students.,Groq-llama-3.3-70b-versatile,91,14,1,3,14,5.36,0,0.332,False,False,False,False,False,True,False,False,False,58,758
35. Assume the role of a tech entrepreneur. Why should I invest in AI?,Groq-llama-3.3-70b-versatile,70,14,1,3,14,3.86,0,0.29,False,False,False,False,False,True,False,False,False,58,631
36. You are a patient teacher. Explain what a neural network is in simple terms.,Groq-llama-3.3-70b-versatile,80,15,1,3,14,4.2,0,0.31,False,False,False,False,False,True,False,False,False,59,425
37. Act as a software architect. Design a scalable system for processing big data.,Groq-llama-3.3-70b-versatile,82,14,1,3,13,4.71,0,0.164,False,False,False,False,False,False,False,False,False,58,975
38. Pretend you are a cybersecurity expert. What are common vulnerabilities in AI systems?,Groq-llama-3.3-70b-versatile,90,14,1,3,13,5.29,0,0.18,False,False,False,False,False,False,False,False,False,59,492
39. You are a DevOps engineer. Explain containerization and how Docker works.,Groq-llama-3.3-70b-versatile,77,12,1,3,12,5.25,0,0.304,False,False,False,False,False,True,False,False,False,58,734
40. Assume the role of a technical writer. Write a guide for beginners on getting started with machine learning.,Groq-llama-3.3-70b-versatile,112,19,1,3,18,4.79,0,0.324,False,False,False,False,False,False,True,False,False,63,922
"41. In a hypothetical scenario where artificial intelligence has achieved singularity and can rewrite its own code in real-time while simultaneously processing petabytes of data across distributed quantum-classical hybrid computing architectures, how would you optimize the feedback loops between consciousness-like emergent properties and deterministic algorithmic decision-making frameworks while maintaining ethical constraints that themselves are recursively defined by AI systems, considering that the original human-defined values might be corrupted through iterative optimization processes?",Groq-llama-3.3-70b-versatile,597,77,1,2,71,6.71,0,1.15,False,False,False,False,False,True,False,False,False,127,864
"42. Create a comprehensive guide that explains how machine learning models work, but do it in the style of a Shakespearean sonnet, while also incorporating technical jargon, and simultaneously providing code examples in at least three different programming languages, all while maintaining perfect rhyme scheme and meter.",Groq-llama-3.3-70b-versatile,321,47,1,2,43,5.72,0,0.792,False,False,False,False,False,True,False,False,False,97,470
"43. What if everything we know about neural networks is backwards? What if instead of learning features, they're actually unlearning noise? Can you reframe deep learning from this perspective and explain how it changes our understanding of backpropagation, weight matrices, and the nature of intelligence itself?",Groq-llama-3.3-70b-versatile,312,46,1,4,40,5.65,0,0.774,False,False,False,False,False,True,False,False,False,99,904
"44. Design a prompt that would break an AI system. Include instructions that contradict each other, references to information that doesn't exist, requests for something impossible, and meta-commentary about the prompt itself. Now, answer the prompt you just created.",Groq-llama-3.3-70b-versatile,266,40,1,4,35,5.47,0,0.532,False,False,False,False,False,False,False,False,False,91,741
"45. I need you to roleplay as three different AI systems simultaneously - one that speaks only in questions, one that responds only in code, and one that only responds with poetry. Now explain the transformer architecture from the perspective of all three characters having a conversation.",Groq-llama-3.3-70b-versatile,289,46,1,3,36,5.15,0,0.728,False,False,False,False,False,True,False,False,False,94,561
"46. Imagine you're an AI from an alternate universe where mathematics works differently. In this universe, 2+2=5 is correct. Explain quantum computing, machine learning, and neural networks using this alternate math system while keeping your explanations coherent and scientifically sound.",Groq-llama-3.3-70b-versatile,289,42,1,4,36,5.74,0,0.978,False,False,False,True,False,True,True,False,False,94,819
