prompt_raw,model,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,prompt_complexity_score,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt,quality
COLLECTION OF 200 TEST PROMPTS FOR LLM TESTING,Groq-llama-3.3-70b-versatile,46,8,1,1,8,4.88,0,0.092,False,False,False,False,False,False,False,False,False,Bad
1. what is llm?,Groq-llama-3.3-70b-versatile,15,4,1,2,4,2.5,0,0.03,False,False,False,False,False,False,False,False,False,Good
2. What does AI stand for?,Groq-llama-3.3-70b-versatile,26,6,1,2,6,3.17,0,0.052,False,False,False,False,False,False,False,False,False,Good
3. How do you make coffee?,Groq-llama-3.3-70b-versatile,26,6,1,2,6,3.17,0,0.202,False,False,False,False,False,True,False,False,False,Average
4. What is 2+2?,Groq-llama-3.3-70b-versatile,15,5,1,2,4,1.8,0,0.18,False,False,False,True,False,False,False,False,False,Good
5. Who invented the internet?,Groq-llama-3.3-70b-versatile,29,5,1,2,5,4.6,0,0.058,False,False,False,False,False,False,False,False,False,Good
6. When was Python created?,Groq-llama-3.3-70b-versatile,27,5,1,2,5,4.2,0,0.054,False,False,False,False,False,False,False,False,False,Good
7. What is machine learning?,Groq-llama-3.3-70b-versatile,28,5,1,2,5,4.4,0,0.056,False,False,False,False,False,False,False,False,False,Good
8. How tall is Mount Everest?,Groq-llama-3.3-70b-versatile,29,6,1,2,6,3.67,0,0.208,False,False,False,False,False,True,False,False,False,Good
9. What is the capital of France?,Groq-llama-3.3-70b-versatile,33,7,1,2,7,3.57,0,0.066,False,False,False,False,False,False,False,False,False,Good
10. Can you count to 10?,Groq-llama-3.3-70b-versatile,24,6,1,2,5,2.83,0,0.048,False,False,False,False,False,False,False,False,False,Good
11. what is thee diffrence between AI and ML?,Groq-llama-3.3-70b-versatile,45,9,1,2,9,3.89,0,0.09,False,False,False,False,False,False,False,False,False,Bad
12. Explaine to me hoergw neural netwroks work,Groq-llama-3.3-70b-versatile,46,8,1,2,8,4.75,0,0.092,False,False,False,False,False,False,False,False,False,Bad
13. I want to lern about cogegumputer vison,Groq-llama-3.3-70b-versatile,43,8,1,2,8,4.38,0,0.086,False,False,False,False,False,False,False,False,False,Bad
14. How do yo train a modhesrell?,Groq-llama-3.3-70b-versatile,33,7,1,2,7,3.57,0,0.216,False,False,False,False,False,True,False,False,False,Bad
15. What is the difshrfernce between supervized and unsupervised lerning?,Groq-llama-3.3-70b-versatile,73,10,1,2,10,6.2,0,0.146,False,False,False,False,False,False,False,False,False,Bad
16. Can u help me undhesherstnd algoritms?,Groq-llama-3.3-70b-versatile,42,7,1,2,7,4.86,0,0.084,False,False,False,False,False,False,False,False,False,Bad
17. Wht is deeplearnsehing?,Groq-llama-3.3-70b-versatile,27,4,1,2,4,5.5,0,0.054,False,False,False,False,False,False,False,False,False,Bad
18. Explan NLP in simphsele termms,Groq-llama-3.3-70b-versatile,34,6,1,2,6,4.67,0,0.068,False,False,False,False,False,False,False,False,False,Bad
19. How do transformshrers work?,Groq-llama-3.3-70b-versatile,32,5,1,2,5,5.2,0,0.214,False,False,False,False,False,True,False,False,False,Bad
20. What is a nuresehral netwrok realy?,Groq-llama-3.3-70b-versatile,39,7,1,2,7,4.43,0,0.078,False,False,False,False,False,False,False,False,False,Bad
21. rEqUeSt: PLease TEll mE aBouT dAtA sCieNce,Groq-llama-3.3-70b-versatile,46,8,1,2,8,4.62,0,0.092,False,False,False,False,False,False,False,False,False,Bad
22. ~~~URGENT~~~ explain machine learning algorithms NOW!!!,Groq-llama-3.3-70b-versatile,59,7,1,2,7,6.14,0,0.268,False,False,False,False,False,True,False,False,False,Bad
23. [PRIORITY_HIGH] :: give me a detailed breakdown of neural networks,Groq-llama-3.3-70b-versatile,70,11,1,2,11,4.91,1,0.14,False,False,False,False,False,False,False,False,False,Bad
24. please... can you... tell me... about... NLP?,Groq-llama-3.3-70b-versatile,49,8,1,6,8,3.5,0,0.098,False,False,False,False,False,False,False,False,False,Bad
25. ????????????????????? what is deep learning ?????????????????????,Groq-llama-3.3-70b-versatile,69,5,1,2,5,4.0,0,0.138,False,False,False,False,False,False,False,False,False,Bad
26. *****BOLD REQUEST***** explain artificial intelligence,Groq-llama-3.3-70b-versatile,58,6,1,2,6,7.0,0,0.366,False,False,True,False,False,True,False,False,False,Bad
27. >>>>>>>> NESTED PROMPT >>>>> Tell me about LLMs,Groq-llama-3.3-70b-versatile,51,7,1,2,7,4.14,0,0.102,False,False,False,False,False,False,False,False,False,Bad
28. ...........................................................................................tell me about AI,Groq-llama-3.3-70b-versatile,111,5,1,2,5,3.0,0,0.222,False,False,False,False,False,False,False,False,False,Bad
