Model,Prompt,Input Tokens,Output Tokens,Quality,Feedback
Perplexity,what is llm?,3,80,Good,Clear and direct.
Perplexity,What does AI stand for?,5,60,Good,Short specific and easy to answer.
Perplexity,How do you make coffee?,5,90,Good,Practical and straightforward.
Perplexity,What is 2+2?,4,20,Good,Very simple and unambiguous.
Perplexity,Who invented the internet?,4,80,Good,Clear factual question.
Perplexity,When was Python created?,4,60,Good,Specific factual prompt.
Perplexity,What is machine learning?,4,90,Good,Standard clear topic question.
Perplexity,How tall is Mount Everest?,5,50,Good,Direct fact lookup.
Perplexity,What is the capital of France?,6,35,Good,Clear and concise.
Perplexity,Can you count to 10?,5,25,Good,Simple and answerable.
Perplexity,what is thee diffrence between AI and ML?,8,120,Okay,Understandable but has typos.
Perplexity,Explaine to me hoergw neural netwroks work,8,140,Okay,Clear intent but heavily misspelled.
Perplexity,I want to lern about cogegumputer vison,7,120,Okay,Intended meaning is clear but typo heavy.
Perplexity,How do yo train a modhesrell?,7,120,Okay,Likely means model training but unclear wording.
Perplexity,What is the difshrfernce between supervized and unsupervised lerning?,10,150,Okay,Good topic but spelling is noisy.
Perplexity,Can u help me undhesherstnd algoritms?,7,100,Okay,Clear intent informal and misspelled.
Perplexity,Wht is deeplearnsehing?,4,90,Okay,Short and understandable despite typos.
Perplexity,Explan NLP in simphsele termms,6,110,Okay,Simple intent but misspelled.
Perplexity,How do transformshrers work?,5,120,Okay,Clear topic typo noise only.
Perplexity,What is a nuresehral netwrok realy?,7,110,Okay,Understandable but noisy spelling.
Perplexity,rEqUeSt: PLease TEll mE aBouT dAtA sCieNce,8,110,Good,Awkward style but clear topic.
Perplexity,~~~URGENT~~~ explain machine learning algorithms NOW!!!,7,130,Okay,Clear request but decorative urgency adds noise.
Perplexity,[PRIORITY_HIGH] :: give me a detailed breakdown of neural networks,9,160,Good,Specific and well scoped.
Perplexity,please... can you... tell me... about... NLP?,7,110,Good,Clear despite filler punctuation.
Perplexity,????????????????????? what is deep learning ????????????????????,7,90,Okay,Answerable but cluttered formatting.
Perplexity,*****BOLD REQUEST***** explain artificial intelligence,6,100,Good,Clear topic with minor decoration.
Perplexity,>>>>>>>> NESTED PROMPT >>>>> Tell me about LLMs,7,120,Good,Clear and answerable.
Perplexity,...........................................................................................tell me about AI,8,100,Okay,Clear topic but excessive punctuation.
Perplexity,!!!!!!!!!!!!!! EXPLAIN PYTHON !!!!!!!!!!!!!!,4,80,Good,Direct and clear.
Perplexity,@@@@@@@@@@@ what is machine learning @@@@@@@@@@@,5,90,Good,Clear despite formatting noise.
Perplexity,You are a Python expert. Explain list comprehensions in detail.,10,180,Good,Clear role and task.
Perplexity,Act as a data scientist. Walk me through the process of building a predictive model.,15,220,Good,Specific and useful.
Perplexity,Pretend you are a seasoned machine learning engineer. What are the top 5 challenges in ML?,16,180,Good,Good role-based prompt.
Perplexity,You are a professor. Explain the concept of gradient descent to undergraduate students.,13,170,Good,Clear audience and topic.
Perplexity,Assume the role of a tech entrepreneur. Why should I invest in AI?,13,160,Good,Clear and opinion oriented.
Perplexity,You are a patient teacher. Explain what a neural network is in simple terms.,14,150,Good,Well scoped and accessible.
Perplexity,Act as a software architect. Design a scalable system for processing big data.,13,200,Good,Strong practical prompt.
Perplexity,Pretend you are a cybersecurity expert. What are common vulnerabilities in AI systems?,13,170,Good,Clear expert framing.
Perplexity,You are a DevOps engineer. Explain containerization and how Docker works.,11,160,Good,Clear and focused.
