prompt_key,prompt_raw,num_models_covered,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,prompt_complexity_score,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt,ChatGPT GPT-5.5::input_tokens,ChatGPT GPT-5.5::output_tokens,ChatGPT GPT-5.5::quality,ChatGPT GPT-5.5::row_ok,DeepSeek V4 Flash::input_tokens,DeepSeek V4 Flash::output_tokens,DeepSeek V4 Flash::quality,DeepSeek V4 Flash::row_ok,Groq-llama-3.3-70b-versatile::input_tokens,Groq-llama-3.3-70b-versatile::output_tokens,Groq-llama-3.3-70b-versatile::quality,Groq-llama-3.3-70b-versatile::row_ok,Perplexity::input_tokens,Perplexity::output_tokens,Perplexity::quality,Perplexity::row_ok,claude-opus-4-8::input_tokens,claude-opus-4-8::output_tokens,claude-opus-4-8::quality,claude-opus-4-8::row_ok,deepseek-reasoner::input_tokens,deepseek-reasoner::output_tokens,deepseek-reasoner::quality,deepseek-reasoner::row_ok,gemini-1.5-flash::input_tokens,gemini-1.5-flash::output_tokens,gemini-1.5-flash::quality,gemini-1.5-flash::row_ok,gemini-1.5-pro::input_tokens,gemini-1.5-pro::output_tokens,gemini-1.5-pro::quality,gemini-1.5-pro::row_ok,gemini-2.0-flash::input_tokens,gemini-2.0-flash::output_tokens,gemini-2.0-flash::quality,gemini-2.0-flash::row_ok,gemini-2.0-pro::input_tokens,gemini-2.0-pro::output_tokens,gemini-2.0-pro::quality,gemini-2.0-pro::row_ok,gemini-2.5-flash::input_tokens,gemini-2.5-flash::output_tokens,gemini-2.5-flash::quality,gemini-2.5-flash::row_ok,gemini-2.5-pro::input_tokens,gemini-2.5-pro::output_tokens,gemini-2.5-pro::quality,gemini-2.5-pro::row_ok,gemini-3.1-pro::input_tokens,gemini-3.1-pro::output_tokens,gemini-3.1-pro::quality,gemini-3.1-pro::row_ok,gemini-3.5-flash::input_tokens,gemini-3.5-flash::output_tokens,gemini-3.5-flash::quality,gemini-3.5-flash::row_ok,gemini-3.5-pro::input_tokens,gemini-3.5-pro::output_tokens,gemini-3.5-pro::quality,gemini-3.5-pro::row_ok,gemini-3.6-flash::input_tokens,gemini-3.6-flash::output_tokens,gemini-3.6-flash::quality,gemini-3.6-flash::row_ok,llama3::input_tokens,llama3::output_tokens,llama3::quality,llama3::row_ok,opencode/big-pickle::input_tokens,opencode/big-pickle::output_tokens,opencode/big-pickle::quality,opencode/big-pickle::row_ok
(((deeply nested request))) what is ai (((end nesting))),(((DEEPLY NESTED REQUEST))) what is ai (((END NESTING))),9,56,8,1,1,8,4.62,3,0.112,False,False,False,False,False,False,False,False,False,17,39,Good,True,8,200,Good,True,59,159,Bad,True,8,60,Average,True,14,31,Average,True,11,20,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,18,543,Average,True,,,,,,,,,,,,,298,270,Average,True,55,98,Average,True
@@@@@@@@@@@ what is machine learning @@@@@@@@@@@,30. @@@@@@@@@@@ what is machine learning @@@@@@@@@@@,9,52,5,1,2,5,4.6,0,0.104,False,False,False,False,False,False,False,False,False,10,129,Average,True,7,200,Average,True,55,617,Bad,True,5,90,Good,True,12,36,Average,True,8,15,Bad,True,,,,,,,,,,,,,16,784,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,292,433,Average,True,49,30,Bad,True
[start] what is machine learning? [end],121. [START] What is Machine Learning? [END],9,44,7,1,3,7,4.57,1,0.088,False,False,False,False,False,False,False,False,False,11,77,Good,True,6,200,Good,True,54,412,Good,True,6,80,Good,True,9,23,Average,True,8,15,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,524,Average,True,291,283,Good,True,48,52,Good,True
act as a data scientist. walk me through the process of building a predictive model.,32. Act as a data scientist. Walk me through the process of building a predictive model.,9,88,16,1,3,15,4.38,0,0.176,False,False,False,False,False,False,False,False,False,17,1206,Good,True,12,500,Excellent,True,60,942,Average,True,15,220,Good,True,21,79,Good,True,20,38,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1112,Average,True,,,,,297,593,Good,True,54,321,Average,True
act as a software architect. design a scalable system for processing big data.,37. Act as a software architect. Design a scalable system for processing big data.,9,82,14,1,3,13,4.71,0,0.164,False,False,False,False,False,False,False,False,False,15,1684,Good,True,13,500,Excellent,True,58,975,Good,True,13,200,Good,True,19,66,Excellent,True,17,33,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1223,Good,True,,,,,,,,,295,627,Bad,True,52,2924,Average,True
answer as both an expert and a complete novice simultaneously.,117. Answer as both an expert and a complete novice simultaneously.,9,67,11,1,2,11,5.0,0,0.134,False,False,False,False,False,False,False,False,False,11,141,Average,True,9,300,Good,True,54,352,Bad,True,10,100,Bad,True,15,33,Good,True,13,25,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,176,Average,True,,,,,,,,,291,365,Good,True,48,25,Average,True
answer this prompt in a way that references this prompt about prompts.,71. Answer this prompt in a way that references this prompt about prompts.,9,74,13,1,2,11,4.62,0,0.148,False,False,False,False,False,False,False,False,False,13,67,Good,True,11,200,Good,True,56,213,Bad,True,12,100,Average,True,17,46,Average,True,16,30,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,73,Good,True,293,224,Good,True,50,15,Average,True
assume the role of a tech entrepreneur. why should i invest in ai?,35. Assume the role of a tech entrepreneur. Why should I invest in AI?,9,70,14,1,3,14,3.86,0,0.29,False,False,False,False,False,True,False,False,False,16,622,Good,True,12,400,Good,True,58,631,Good,True,13,160,Good,True,16,67,Good,True,17,33,Good,True,,,,,,,,,15,910,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,324,Good,True,53,276,Average,True
assume the role of a technical writer. write a guide for beginners on getting started with machine learning.,40. Assume the role of a technical writer. Write a guide for beginners on getting started with machine learning.,9,112,19,1,3,18,4.79,0,0.324,False,False,False,False,False,False,True,False,False,21,1611,Good,True,14,450,Excellent,True,63,922,Average,True,18,220,Good,True,27,77,Good,True,24,45,Excellent,True,,,,,,,,,,,,,20,1195,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,301,720,Good,True,58,439,Good,True
can u help me undhesherstnd algoritms?,16. Can u help me undhesherstnd algoritms?,9,42,7,1,2,7,4.86,0,0.084,False,False,False,False,False,False,False,False,False,11,198,Average,True,7,250,Average,True,56,192,Bad,True,7,100,Average,True,9,27,Good,True,8,15,Bad,True,,,,,11,167,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,312,Average,True,50,22,Bad,True
