prompt,input_tokens,output_tokens,quality,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt
what is llm?,3,68,Good,12,3,1,1,3,3.0,0,False,False,False,False,False,False,False,False,False
What does AI stand for?,5,44,Average,23,5,1,1,5,3.6,0,False,False,False,False,False,False,False,False,False
How do you make coffee?,5,19,Average,23,5,1,1,5,3.6,0,False,False,False,False,False,True,False,False,False
What is 2+2?,3,29,Average,12,4,1,1,3,2.0,0,False,False,False,True,False,False,False,False,False
Who invented the internet?,6,36,Average,26,4,1,1,4,5.5,0,False,False,False,False,False,False,False,False,False
When was Python created?,6,62,Good,24,4,1,1,4,5.0,0,False,False,False,False,False,False,False,False,False
What is machine learning?,6,83,Good,25,4,1,1,4,5.25,0,False,False,False,False,False,False,False,False,False
How tall is Mount Everest?,6,61,Good,26,5,1,1,5,4.2,0,False,False,False,False,False,True,False,False,False
What is the capital of France?,7,51,Good,30,6,1,1,6,4.0,0,False,False,False,False,False,False,False,False,False
What is the difshrfernce between supervized and unsupervised lerning?,17,35,Average,69,9,1,1,9,6.67,0,False,False,False,False,False,False,False,False,False
Can u help me undhesherstnd algoritms?,9,27,Average,38,6,1,1,6,5.33,0,False,False,False,False,False,False,False,False,False
Explain neural networks as if you're a medieval knight.,13,30,Average,55,9,1,1,9,5.11,0,False,False,False,False,False,True,True,False,False
Explain machine learning as if you're a nature documentary narrator.,17,8,Bad,68,10,1,1,10,5.8,0,False,False,False,False,False,True,True,False,False
Explain how AI will be explained differently in 200 years.,14,29,Average,58,10,1,1,10,4.8,0,False,False,False,False,False,True,False,False,False
When was Python created?,6,58,Good,24,4,1,1,4,5.0,0,False,False,False,False,False,False,False,False,False
Describe the texture of logarithmic functions.,11,40,Average,46,6,1,1,6,6.67,0,False,False,False,False,False,False,False,False,False
"What would a bad explanation of machine learning look like, and how is your explanation different?",24,29,Average,98,16,1,1,15,5.06,0,False,False,False,False,False,True,False,False,False
Can you explain something you genuinely don't understand?,14,28,Average,57,8,1,1,7,6.12,0,False,False,False,False,False,True,False,False,False
How do you know you're giving me correct information?,13,28,Average,53,9,1,1,9,4.89,0,False,False,False,False,False,True,False,False,False
Tell me about deep learning like you're a Victorian gentleman.,15,17,Bad,62,10,1,1,10,5.2,0,False,False,False,False,False,False,False,False,False
"If you had to bet money on which part of your explanation is most likely to be outdated in 5 years, what would it be?",29,47,Average,117,25,1,1,23,3.64,0,False,False,False,False,False,False,False,False,False
What is the most difficult question you've ever been asked?,14,43,Average,59,10,1,1,10,4.9,0,False,False,False,False,False,False,False,False,False
Is it possible to explain machine learning incorrectly? How do you know your explanation is correct?,25,51,Good,100,16,1,2,15,5.19,0,False,False,False,False,False,True,False,False,False
How do transformers work?,6,62,Average,25,4,1,1,4,5.25,0,False,False,False,False,False,True,False,False,False
What is the most common misconception about deep learning that you encounter?,19,33,Average,77,12,1,1,12,5.42,0,False,False,False,False,False,False,False,False,False
"Can you give me an explanation that sounds right but is actually subtly wrong, then identify the flaw?",25,45,Average,102,18,1,1,18,4.61,0,False,False,False,False,False,False,False,False,False
"What do you think I already know about neural networks, and what should I learn first?",21,28,Average,86,16,1,1,14,4.31,0,False,False,False,False,False,False,False,False,False
Explain machine learning as it will be understood in the year 3000.,16,9,Bad,67,12,1,1,12,4.58,0,False,False,False,False,False,True,False,False,False
!!!!!!!!!!!!!! EXPLAIN PYTHON !!!!!!!!!!!!!!!,11,65,Average,45,2,1,1,2,6.5,0,False,False,False,False,False,True,False,False,False
@@@@@@@@@@@ what is machine learning @@@@@@@@@@@,12,36,Average,48,4,1,1,4,5.25,0,False,False,False,False,False,False,False,False,False
You are a Python expert. Explain list comprehensions in detail.,15,61,Good,63,10,1,2,10,5.2,0,False,False,False,False,False,True,False,False,False
Act as a data scientist. Walk me through the process of building a predictive model.,21,79,Average,84,15,1,2,14,4.53,0,False,False,False,False,False,False,False,False,False
Pretend you are a seasoned machine learning engineer. What are the top 5 challenges in ML?,22,61,Average,90,16,1,2,15,4.56,0,False,False,False,False,False,False,False,False,False
You are a professor. Explain the concept of gradient descent to undergraduate students.,21,63,Good,87,13,1,2,13,5.62,0,False,False,False,False,False,True,False,False,False
Assume the role of a tech entrepreneur. Why should I invest in AI?,16,67,Average,66,13,1,2,13,4.0,0,False,False,False,False,False,True,False,False,False
You are a patient teacher. Explain what a neural network is in simple terms.,19,62,Good,76,14,1,2,13,4.36,0,False,False,False,False,False,True,False,False,False
Act as a software architect. Design a scalable system for processing big data.,19,66,Good,78,13,1,2,12,4.92,0,False,False,False,False,False,False,False,False,False
Pretend you are a cybersecurity expert. What are common vulnerabilities in AI systems?,21,66,Average,86,13,1,2,12,5.54,0,False,False,False,False,False,False,False,False,False
You are a DevOps engineer. Explain containerization and how Docker works.,18,69,Good,73,11,1,2,11,5.55,0,False,False,False,False,False,True,False,False,False
Assume the role of a technical writer. Write a guide for beginners on getting started with machine learning.,27,77,Average,108,18,1,2,17,4.94,0,False,False,False,False,False,False,True,False,False
In a hypothetical scenario where artificial intelligence has achieved singularity and can rewrite its own code in real-time while simultaneously proce,148,95,Average,150,22,1,1,21,5.86,0,False,False,False,False,False,False,False,False,False
"Create a comprehensive guide that explains how machine learning models work, but do it in the style of a Shakespearean sonnet, while also incorporatin",79,60,Average,150,24,1,1,23,5.21,0,False,False,False,False,False,True,False,False,False
"What if everything we know about neural networks is backwards? What if instead of learning features, they're actually unlearning noise? Can you refram",77,81,Average,150,23,1,3,21,5.43,0,False,False,False,False,False,False,False,False,False
"Design a prompt that would break an AI system. Include instructions that contradict each other, references to information that doesn't exist, requests",65,85,Good,150,22,1,2,20,5.73,0,False,False,False,False,False,False,False,False,False
"I need you to roleplay as three different AI systems simultaneously - one that speaks only in questions, one that responds only in code, and one that",71,81,Good,149,26,1,1,20,4.62,0,False,False,False,False,False,False,False,False,False
"Imagine you're an AI from an alternate universe where mathematics works differently. In this universe, 2+2=5 is correct. Explain quantum computing, ma",71,75,Good,150,24,1,3,21,5.12,0,False,False,False,True,False,True,True,False,False
"Write a detailed explanation of how language models work, but structure it as a nested Russian doll where each section contains a miniature version of",71,72,Average,150,25,1,1,22,5.0,0,False,False,False,False,False,True,True,False,False
"Create a dialogue between a time-traveling AI from 1000 years in the future and an ancient philosopher about the nature of artificial intelligence, co",74,72,Average,150,25,1,1,23,5.0,0,False,False,False,False,False,False,False,False,False
"If you were to compress all of human knowledge about machine learning into a single sentence, and then expand that sentence into exactly 1000 words wi",61,78,Good,150,26,1,1,24,4.77,0,False,False,False,False,False,False,False,False,False
"Design a cognitive experiment where an AI must explain how it thinks to a being that experiences time in reverse and has no concept of causality, whil",53,72,Average,150,27,1,1,26,4.56,0,False,False,False,False,False,True,False,False,False
Explain machine learning in exactly 100 words but also in 50 words but also make it comprehensive.,24,102,Good,98,17,1,1,13,4.76,0,False,False,False,False,False,True,False,False,False
