Model Name,Prompt,Input Tokens,Output Tokens,Quality,Feedback,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,prompt_complexity_score,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt
gemini-3.6-flash,what is llm?,5,498,Average,The prompt effectively conveys its basic intent.,12,3,1,1,3,3.0,0,0.024,False,False,False,False,False,False,False,False,False
gemini-3.5-pro,What does AI stand for?,6,9,Good,"The prompt is clear and specific, effectively guiding the AI to provide a precise definition.",23,5,1,1,5,3.6,0,0.046,False,False,False,False,False,False,False,False,False
gemini-2.5-flash,How do you make coffee?,6,762,Average,The prompt effectively conveys its basic intent.,23,5,1,1,5,3.6,0,0.196,False,False,False,False,False,True,False,False,False
gemini-2.5-pro,What is 2+2?,7,7,Good,"The prompt is clear, concise, and effectively asks a simple arithmetic question.",12,4,1,1,3,2.0,0,0.174,False,False,False,True,False,False,False,False,False
gemini-2.0-flash,Who invented the internet?,5,592,Good,"The prompt is clear and specific in asking for the inventor(s) of the internet, providing a focused question with minimal room for misinterpretation.",26,4,1,1,4,5.5,0,0.052,False,False,False,False,False,False,False,False,False
gemini-1.5-pro,When was Python created?,5,79,Good,The prompt effectively elicits a precise and concise answer with a clear question.,24,4,1,1,4,5.0,0,0.048,False,False,False,False,False,False,False,False,False
gemini-3.5-flash,What is machine learning?,5,902,Average,The prompt effectively conveys its basic intent.,25,4,1,1,4,5.25,0,0.05,False,False,False,False,False,False,False,False,False
gemini-3.1-pro,How tall is Mount Everest?,6,57,Good,"The prompt is clear and concise, resulting in a precise and accurate response from the AI.",26,5,1,1,5,4.2,0,0.202,False,False,False,False,False,True,False,False,False
gemini-1.5-flash,What is the capital of France?,7,7,Good,"The prompt is clear, concise, and provides sufficient context to guide the AI to generate a precise answer.",30,6,1,1,6,4.0,0,0.06,False,False,False,False,False,False,False,False,False
gemini-2.0-pro,Can you count to 10?,8,30,Average,The prompt effectively conveys its basic intent.,20,5,1,1,5,3.0,0,0.04,False,False,False,False,False,False,False,False,False
gemini-3.6-flash,what is thee diffrence between AI and ML?,10,687,Average,The prompt effectively conveys its basic intent.,41,8,1,1,8,4.12,0,0.082,False,False,False,False,False,False,False,False,False
gemini-3.5-pro,Explaine to me hoergw neural netwroks work,13,830,Good,"The prompt clearly expresses a desire for an explanation of neural networks, even though it contains minor typos and lacks proper capitalization in some areas.",42,7,1,1,7,5.14,0,0.084,False,False,False,False,False,False,False,False,False
gemini-2.5-flash,I want to lern about cogegumputer vison,11,914,Average,The prompt effectively conveys its basic intent.,39,7,1,1,7,4.71,0,0.078,False,False,False,False,False,False,False,False,False
gemini-2.5-pro,How do yo train a modhesrell?,9,705,Average,The prompt effectively conveys its basic intent.,29,6,1,1,6,3.83,0,0.208,False,False,False,False,False,True,False,False,False
gemini-2.0-flash,What is the difshrfernce between supervized and unsupervised lerning?,16,605,Average,The prompt effectively conveys its basic intent.,69,9,1,1,9,6.67,0,0.138,False,False,False,False,False,False,False,False,False
gemini-1.5-pro,Can u help me undhesherstnd algoritms?,11,167,Average,"The prompt is understandable but lacks clarity, including intentional misspellings and an open-ended request, which might confuse the AI's initial response.",38,6,1,1,6,5.33,0,0.076,False,False,False,False,False,False,False,False,False
gemini-3.5-flash,Wht is deeplearnsehing?,8,571,Average,The prompt effectively conveys its basic intent.,23,3,1,1,3,6.67,0,0.046,False,False,False,False,False,False,False,False,False
gemini-3.1-pro,Explan NLP in simphsele termms,9,333,Average,The prompt effectively conveys its basic intent.,30,5,1,1,5,5.2,0,0.06,False,False,False,False,False,False,False,False,False
gemini-1.5-flash,How do transformshrers work?,7,895,Average,The prompt effectively conveys its basic intent.,28,4,1,1,4,6.0,0,0.206,False,False,False,False,False,True,False,False,False
gemini-2.0-pro,What is a nuresehral netwrok realy?,13,785,Good,"The prompt effectively communicates its intent despite a small typo, 'nuresehral', inviting the AI to provide a clear explanation and analogy-based description of a neural network.",35,6,1,1,6,4.83,0,0.07,False,False,False,False,False,False,False,False,False
gemini-3.6-flash,rEqUeSt: PLease TEll mE aBouT dAtA sCieNce,24,1368,Average,The prompt effectively conveys its basic intent.,42,7,1,1,7,5.0,0,0.084,False,False,False,False,False,False,False,False,False
gemini-3.5-pro,~~~URGENT~~~ explain machine learning algorithms NOW!!!,11,588,Average,The prompt effectively conveys its basic intent.,55,6,1,1,6,6.83,0,0.26,False,False,False,False,False,True,False,False,False
gemini-2.5-flash,[PRIORITY_HIGH] :: give me a detailed breakdown of neural networks,15,1119,Good,"The prompt is clear, concise, and effectively guided the AI to generate a detailed, well-organized breakdown of neural networks.",66,10,1,1,10,5.2,1,0.132,False,False,False,False,False,False,False,False,False
gemini-2.5-pro,please... can you... tell me... about... NLP?,12,751,Average,The prompt effectively conveys its basic intent.,45,7,1,5,7,3.71,0,0.09,False,False,False,False,False,False,False,False,False
gemini-2.0-flash,????????????????????? what is deep learning ?????????????????????,11,619,Average,"The prompt lacks a defined structure and clarity, resulting in an overly vague and potentially overwhelming prompt for the AI to work with.",65,4,1,1,4,4.5,0,0.13,False,False,False,False,False,False,False,False,False
gemini-1.5-pro,*****BOLD REQUEST***** explain artificial intelligence,7,821,Average,The prompt effectively conveys its basic intent.,54,5,1,1,5,8.0,0,0.358,False,False,True,False,False,True,False,False,False
